reflection	考虑
suffer	使受苦
mutilate	切断手足，支离破碎
disturbing	令人心神不宁的
disgust	反感，厌恶
soothe	安缚，缓和
drumstick	（禽类）大腿上部
integrity	诚信，正直
afflict	折磨，使苦恼
veil	遮掩，笼罩
intelligence	情报
hasten	加速，匆忙
foretall	（通过预先行动）阻止
weep	哭泣
abandonment	不管不顾
haunt	闹鬼
aquiver	颤抖的
peddler	小贩
eave	屋檐
sob	啜泣
bespeak	证明，作为提示而表现出
yonder	在那边，在远处
elusive	难以察觉的，难以捉摸的
tumultuously	暴力地
cooursing	奔驰
monstrous	畸形的，丑陋的
exalt	赞扬，提升
dismiss_sth_as_trivial	认为。。。是无关紧要的
illumination	光照，顿悟
count_fot	是重要的
elixir	灵丹妙药
riot	暴乱，骚动
drink_in	吸收，饱览
shudder	战栗
importunity	硬要，强求
feverish	狂怒的
unwittingly	无意识地
latchkey	闩锁钥匙
composedly	镇定的，沉着的
screen	掩藏，庇护
screen	掩藏，庇护
